package,old,new,delta
matsindf,0.3.10,0.3.11,*
assertthat,0.2.1,0.2.1,
backports,1.4.1,1.4.1,
base64enc,0.1-3,0.1-3,
checkmate,2.1.0,2.1.0,
cli,3.3.0,3.3.0,
colorspace,2.0-3,2.0-3,
cpp11,0.4.2,0.4.2,
crayon,1.5.1,1.5.1,
data.table,1.14.2,1.14.2,
digest,0.6.29,0.6.29,
dplyr,1.0.9,1.0.9,
ellipsis,0.3.2,0.3.2,
evaluate,0.15,0.15,
fansi,1.0.3,1.0.3,
farver,2.1.0,2.1.0,
fastmap,1.1.0,1.1.0,
Formula,1.2-4,1.2-4,
generics,0.1.2,0.1.2,
ggplot2,3.3.6,3.3.6,
glue,1.6.2,1.6.2,
gridExtra,2.3,2.3,
gtable,0.3.0,0.3.0,
highr,0.9,0.9,
Hmisc,4.7-0,4.7-0,
htmlTable,2.4.0,2.4.0,
htmltools,0.5.2,0.5.2,
htmlwidgets,1.5.4,1.5.4,
isoband,0.2.5,0.2.5,
jpeg,0.1-9,0.1-9,
jsonlite,1.8.0,1.8.0,
knitr,1.39,1.39,
labeling,0.4.2,0.4.2,
latticeExtra,0.6-29,0.6-29,
lifecycle,1.0.1,1.0.1,
magrittr,2.0.3,2.0.3,
matsbyname,0.5.0,0.5.0,
munsell,0.5.0,0.5.0,
pillar,1.7.0,1.7.0,
pkgconfig,2.0.3,2.0.3,
png,0.1-7,0.1-7,
purrr,0.3.4,0.3.4,
R6,2.5.1,2.5.1,
RCLabels,0.1.1,0.1.1,
RColorBrewer,1.1-3,1.1-3,
rlang,1.0.2,1.0.2,
rstudioapi,0.13,0.13,
scales,1.2.0,1.2.0,
stringi,1.7.6,1.7.6,
stringr,1.4.0,1.4.0,
tibble,3.1.7,3.1.7,
tidyr,1.2.0,1.2.0,
tidyselect,1.1.2,1.1.2,
utf8,1.2.2,1.2.2,
vctrs,0.4.1,0.4.1,
viridis,0.6.2,0.6.2,
viridisLite,0.4.0,0.4.0,
withr,2.5.0,2.5.0,
xfun,0.31,0.31,
yaml,2.3.5,2.3.5,
